,index,Review,Rating
0,0,ราคาแพงนิดนึงเทียบกับขนาดห้องค่ะ ห้องมีอุปกรณ์ครบ ข้างล่างมีเซเว่นในโรงแรมเรย ใจกลางเมืองเดินประมาณ 500เมตรถึงมาบุญครอง,8.8
1,1,พนักงานน่ารักมากเลยค่ะ พร้อมให้ความช่วยเหลือตลอดเวลา ทำเลดีเดินทางสะดวกมาก โรงแรมเป็น Green Hotel สิ่งอำนวยความสะดวกเลยน้อยไปนิดนึง ห้องน้ำแคบอยู่ ติ Key Card นิดนึงว่าใช้ยากมากต้องเสียบแล้วดึงออกมาก่อนถึงจะเข้าได้ แล้วก็สายฉีดชำระฉีดแล้วไม่หยุดต้องกดซ้ำๆหลายรอบ นอกนั้นโอเคหมดเลยค่ะ,9.2
2,2,ใกล้แหล่ง shopping,8.0
3,3,สะดวกสะบายใกล้รถไฟฟ้า,8.8
4,4,ทำเลสะดวก พนักงานบริการดีมาก,10.0
5,5,สะดวก สะอาด บริการดี,8.8
6,6,Ok,6.4
7,7,ดีทุกอย่าง ติดอย่างเดียว จ่ายแพงกับห้องที่พื้นที่น้อย,9.2
8,8,ขนาดห้องเล็ก ของอำนวยควาสะดวกน้อย ไลน์อาหารมีให้เล่อกน้อย,7.2
9,9,พนักงานรับcheck in แล้วระบุเลขห้องพักผิดทำให้เข้าห้องไม่ได้,7.6
10,10,อาหารอร่อย,6.8
11,11,ใกล้ bts,9.6
12,12,ใจกลางเมือง ใกล้บีทีเอส ใกล้ห้างสรรพสินค้า ราคาดี สิ่งอำนวยความสะดวกครบครัน,10.0
13,13,ห้องเล็กไปหน่อย แต่เดินทางสะดวกติดกับ สถานีสนามกีฬาแห่งชาติ เดินออกไปก็ถึงเลยค่ะ,10.0
14,14,ทำเลดีมากสำหรับคนที่อยากเที่ยวหรือทำธุระแถว MBK หรือ Siam,10.0
15,15,ทุกอย่างคือดีมากๆ อาหารอร่อยมากเยอะมากให้เลือก พนักงานบริการดีเยี่ยมมาก,10.0
16,16,ข้อดี - อยู่ติด bts สนามกีฬาแห่งชาติ ไม่แออัดตอนเดินทาง ข้อเสีย -เล็กไปหน่อย แต่สบาย,9.2
17,17,เดินทางสะดวก ใกล้สถานที่ช๊อปปิ้ง,10.0
18,18,รร.สะอาด ห้องเล็กกระทัดรัดไปคนเดียวอุ่นใจ ทีที่จอดรถ หรือ BTS อยู่หน้ารร.เลย,10.0
19,19,ห้องกว้าง,10.0
20,20,เดินทางสะดวก ห้องวิวดีมาก,10.0
21,21,(เขียนไปรอบนึงละ ไม่เห็นจะโชว์เลย) ทุกอย่างดีเกือบหมด เสียตรง 1.อาหารเช้า ไม่ค่อยโอเค ต้องจ่ายเพิ่ม 412 บาท แต่อาหารงั้นๆอะ กับ 2. ห้องไม่เก็บเสียงเลย ได้ยินทั้งเสียงลิฟต์ (ทั้งที่ไม่ได้อยู่ห้องตรงกับลิฟต์ด้วย ยังได้ยินอะ จริงๆ ลิฟต์ควรจะปิดเสียงนะ ไม่งั้นดังตลอด รบกวนแขกมากๆ) เสียงคนคุยกัน คนเดินผ่านหน้าห้อง เสียงก็เข้ามา ยังดีที่พอตกดึกก็เริ่มเงียบ เลยนอนหลับได้ มาดังอีกทีตอนเช้า แต่ถ้าโชคไม่ดีได้ข้างห้องคุยเก่ง คงได้ยินเสียงรบกวนทั้งคืน เพราะข้างห้องคุยไรกัน ก็ได้ยินอะ ถ้าไม่ได้ซีเรียสเรื่องเสียงรบกวน กับ อาหารเช้า ก็แนะนำให้มาพัก เพราะอย่างอื่นก็โอเค แต่ถ้าหลับอยาก ได้ยินเสียงรบกวนแล้วไม่โอเค ไม่แนะนำค่ะ,8.4
22,22,ทำเลดีมากกกกกกก พนักงานก็บริการดี ห้องพักก็ดี ทำความสะอาดก็พอใช้ได้ ไม่แย่ เตียงนอนนุ่มสบาย มีข้อเสียนิดนึงตรงที่ ห้องไม่เก็บเสียงเลย ได้ยินเสียงลิฟต์ตลอด (จริงๆ ควรปิดเสียงลิฟต์นะ เพราะค่อนข้างรบกวน) แถมห้องข้างๆ คุยกันก็ได้ยินเสียงตลอด คนเดินผ่าน คุยกัน เสียงก็เข้ามา ไม่เก็บเสียงเลยอะ แต่ยังดีตรงที่ ตอนที่เสียงดัง ไม่ใช่เวลานอน (นอนดึก) ไม่งั้นคงไม่โอเคมากๆ อาหารตอนเช้าก็ไม่ค่อยโอเท่าไหร่ ไม่สมราคาที่ต้องจ่ายเพิ่ม 412 บาท ถ้าใครไม่ได้หลับยาก ไม่รำคาญเสียงรบกวน ไม่กินอาหารเช้า ในภาพรวมก็ถือว่าดีค่ะ แต่ไม่กล้าแนะนำคนอื่น เพราะเรื่องห้องไม่เก็บเสียงนี่แหละ เรื่องใหญ่เลยนะนั่น,8.4
23,23,อยู่ใกล้ BTS และห้างต่าง ๆ สามารถเดินไปห้างในโซนสยามได้สบาย ๆ ข้างล่างโรงแรมมีเซเว่นด้วยค่ะ สะดวกสำหรับคนชอบหิวตอนดึก ๆ เลยค่ะ,8.4
24,24,ใกล้สยามพารากอน + เซนเวิล ช้อปปิ้งสะดวกค่ะ ใกล้บรรทัดทองของกินเยอะ เตียงนุ่มนอนหลับสบายยยยยยยยย,10.0
25,25,สะดวก ครบครัน,8.0
